DS_name,Variables.Selected.by.glmnet,Structural_Variables,Variables.Not.Selected.by.glmnet,Nonstructural_Variables
0.75-15-2-406,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X12, X14, X21, X23, X24, X25, X27, X28, X30","X1, X4, X5, X6, X7, X9, X10, X12, X14, X21, X23, X24, X25, X27, X30","X11, X13, X15, X16, X17, X18, X19, X20, X22, X26, X29","X2, X3, X8, X11, X13, X15, X16, X17, X18, X19, X20, X22, X26, X28, X29"
0.75-15-2-407,"X1, X2, X3, X4, X5, X6, X7, X9, X10, X11, X12, X13, X14, X15, X16, X17, X19, X22, X23, X24, X26, X29, X30","X1, X2, X3, X4, X6, X7, X9, X11, X12, X15, X16, X17, X19, X26, X29","X8, X18, X20, X21, X25, X27, X28","X5, X8, X10, X13, X14, X18, X20, X21, X22, X23, X24, X25, X27, X28, X30"
0.75-15-2-408,"X1, X6, X7, X9, X11, X12, X14, X15, X16, X17, X18, X19, X20, X21, X23, X24, X25, X26, X27, X28, X29, X30","X1, X7, X9, X11, X15, X16, X18, X19, X20, X23, X24, X25, X26, X28, X29","X2, X3, X4, X5, X8, X10, X13, X22","X2, X3, X4, X5, X6, X8, X10, X12, X13, X14, X17, X21, X22, X27, X30"
0.75-15-2-409,"X2, X3, X5, X6, X7, X8, X9, X13, X14, X15, X17, X18, X19, X20, X21, X22, X24, X25, X26, X27, X28, X29, X30","X3, X5, X6, X7, X8, X9, X13, X17, X18, X19, X24, X25, X26, X27, X28","X1, X4, X10, X11, X12, X16, X23","X1, X2, X4, X10, X11, X12, X14, X15, X16, X20, X21, X22, X23, X29, X30"
0.75-15-2-410,"X1, X2, X4, X5, X6, X7, X8, X9, X10, X11, X12, X16, X19, X23, X24, X25, X26, X27, X28, X29, X30","X1, X2, X6, X7, X9, X10, X11, X12, X16, X19, X23, X24, X27, X28, X29","X3, X13, X14, X15, X17, X18, X20, X21, X22","X3, X4, X5, X8, X13, X14, X15, X17, X18, X20, X21, X22, X25, X26, X30"
0.75-15-2-411,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, X14, X15, X16, X19, X20, X21, X22, X25, X26, X27, X28, X29, X30","X2, X4, X5, X7, X8, X10, X11, X14, X15, X19, X20, X22, X27, X28, X29","X12, X13, X17, X18, X23, X24","X1, X3, X6, X9, X12, X13, X16, X17, X18, X21, X23, X24, X25, X26, X30"
0.75-15-2-412,"X1, X2, X3, X6, X7, X9, X13, X14, X16, X17, X18, X20, X21, X22, X23, X25, X26, X27, X28, X30","X1, X3, X6, X7, X9, X13, X14, X17, X20, X21, X22, X23, X26, X27, X28","X4, X5, X8, X10, X11, X12, X15, X19, X24, X29","X2, X4, X5, X8, X10, X11, X12, X15, X16, X18, X19, X24, X25, X29, X30"
0.75-15-2-413,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, X14, X15, X16, X18, X19, X22, X23, X25, X26, X27, X28, X29, X30","X3, X4, X6, X8, X9, X10, X11, X14, X18, X19, X22, X23, X26, X27, X28","X12, X13, X17, X20, X21, X24","X1, X2, X5, X7, X12, X13, X15, X16, X17, X20, X21, X24, X25, X29, X30"
0.75-15-2-414,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X11, X13, X14, X15, X16, X17, X18, X19, X20, X21, X24, X28, X30","X1, X2, X3, X4, X5, X7, X8, X9, X11, X14, X17, X18, X20, X28, X30","X10, X12, X22, X23, X25, X26, X27, X29","X6, X10, X12, X13, X15, X16, X19, X21, X22, X23, X24, X25, X26, X27, X29"
0.75-15-2-415,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X11, X12, X16, X17, X18, X22, X24, X25, X26, X29, X30","X1, X2, X4, X6, X7, X8, X9, X11, X16, X17, X22, X24, X25, X26, X30","X10, X13, X14, X15, X19, X20, X21, X23, X27, X28","X3, X5, X10, X12, X13, X14, X15, X18, X19, X20, X21, X23, X27, X28, X29"
0.75-15-2-416,"X4, X5, X6, X8, X12, X13, X14, X15, X16, X18, X19, X20, X21, X22, X24, X25, X26, X27, X28, X29, X30","X4, X5, X8, X12, X13, X14, X16, X19, X20, X24, X25, X26, X27, X29, X30","X1, X2, X3, X7, X9, X10, X11, X17, X23","X1, X2, X3, X6, X7, X9, X10, X11, X15, X17, X18, X21, X22, X23, X28"
0.75-15-2-417,"X1, X3, X7, X9, X12, X13, X15, X17, X18, X19, X20, X21, X22, X23, X24, X25, X27, X28, X29, X30","X1, X7, X9, X13, X15, X17, X19, X20, X21, X22, X23, X25, X28, X29, X30","X2, X4, X5, X6, X8, X10, X11, X14, X16, X26","X2, X3, X4, X5, X6, X8, X10, X11, X12, X14, X16, X18, X24, X26, X27"
0.75-15-2-418,"X1, X3, X4, X5, X11, X12, X13, X14, X17, X18, X19, X20, X21, X23, X24, X25, X26, X27, X28, X29, X30","X1, X3, X4, X5, X11, X12, X14, X18, X19, X20, X24, X26, X28, X29, X30","X2, X6, X7, X8, X9, X10, X15, X16, X22","X2, X6, X7, X8, X9, X10, X13, X15, X16, X17, X21, X22, X23, X25, X27"
0.75-15-2-419,"X1, X4, X5, X6, X7, X8, X9, X10, X11, X13, X14, X15, X16, X17, X18, X19, X20, X21, X22, X27, X28, X29, X30","X1, X4, X5, X7, X8, X10, X11, X13, X14, X15, X16, X17, X21, X28, X29","X2, X3, X12, X23, X24, X25, X26","X2, X3, X6, X9, X12, X18, X19, X20, X22, X23, X24, X25, X26, X27, X30"
0.75-15-2-420,"X1, X2, X3, X4, X5, X8, X9, X10, X11, X12, X13, X15, X16, X18, X19, X20, X21, X22, X23, X25, X26, X28, X29, X30","X1, X3, X4, X8, X9, X10, X13, X15, X16, X19, X22, X25, X26, X28, X29","X6, X7, X14, X17, X24, X27","X2, X5, X6, X7, X11, X12, X14, X17, X18, X20, X21, X23, X24, X27, X30"
0.75-15-2-421,"X1, X2, X3, X4, X6, X7, X8, X9, X10, X11, X12, X13, X17, X18, X20, X22, X23, X24, X25, X27, X28, X29, X30","X1, X2, X3, X4, X6, X7, X8, X9, X10, X13, X18, X24, X25, X28, X30","X5, X14, X15, X16, X19, X21, X26","X5, X11, X12, X14, X15, X16, X17, X19, X20, X21, X22, X23, X26, X27, X29"
0.75-15-2-422,"X1, X2, X3, X4, X5, X6, X7, X10, X11, X12, X13, X14, X16, X17, X18, X19, X21, X22, X24, X25, X26, X28, X30","X1, X2, X3, X5, X6, X10, X12, X13, X14, X16, X19, X22, X25, X26, X30","X8, X9, X15, X20, X23, X27, X29","X4, X7, X8, X9, X11, X15, X17, X18, X20, X21, X23, X24, X27, X28, X29"
0.75-15-2-423,"X2, X3, X4, X5, X7, X8, X10, X11, X12, X14, X18, X19, X20, X21, X22, X24, X26, X27, X28, X29, X30","X2, X3, X4, X5, X8, X10, X11, X14, X19, X20, X22, X24, X26, X27, X29","X1, X6, X9, X13, X15, X16, X17, X23, X25","X1, X6, X7, X9, X12, X13, X15, X16, X17, X18, X21, X23, X25, X28, X30"
0.75-15-2-424,"X1, X2, X3, X4, X7, X8, X9, X10, X13, X14, X15, X16, X17, X18, X19, X21, X23, X24, X27, X30","X2, X3, X4, X7, X8, X9, X10, X13, X14, X15, X16, X17, X19, X23, X27","X5, X6, X11, X12, X20, X22, X25, X26, X28, X29","X1, X5, X6, X11, X12, X18, X20, X21, X22, X24, X25, X26, X28, X29, X30"
0.75-15-2-425,"X2, X4, X5, X6, X8, X9, X10, X11, X12, X16, X17, X19, X20, X22, X23, X25, X26, X28, X29, X30","X2, X4, X5, X8, X9, X10, X12, X16, X19, X20, X22, X23, X25, X26, X28","X1, X3, X7, X13, X14, X15, X18, X21, X24, X27","X1, X3, X6, X7, X11, X13, X14, X15, X17, X18, X21, X24, X27, X29, X30"
0.75-15-2-426,"X3, X4, X5, X6, X7, X8, X9, X10, X12, X13, X14, X18, X19, X20, X21, X28, X29, X30","X3, X5, X6, X8, X10, X12, X13, X14, X18, X19, X20, X21, X28, X29, X30","X1, X2, X11, X15, X16, X17, X22, X23, X24, X25, X26, X27","X1, X2, X4, X7, X9, X11, X15, X16, X17, X22, X23, X24, X25, X26, X27"
0.75-15-2-427,"X2, X6, X7, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X28, X29, X30","X2, X7, X11, X12, X13, X17, X19, X20, X21, X22, X24, X25, X28, X29, X30","X1, X3, X4, X5, X8, X9, X10, X26, X27","X1, X3, X4, X5, X6, X8, X9, X10, X14, X15, X16, X18, X23, X26, X27"
0.75-15-2-428,"X1, X2, X3, X4, X5, X6, X7, X8, X10, X12, X14, X15, X16, X17, X18, X19, X21, X22, X23, X25, X26, X27, X29, X30","X2, X4, X6, X7, X8, X10, X12, X14, X15, X17, X23, X25, X26, X27, X29","X9, X11, X13, X20, X24, X28","X1, X3, X5, X9, X11, X13, X16, X18, X19, X20, X21, X22, X24, X28, X30"
0.75-15-2-429,"X4, X5, X6, X7, X8, X9, X12, X13, X14, X15, X17, X18, X19, X20, X21, X22, X23, X24, X28, X29, X30","X4, X5, X6, X7, X8, X9, X12, X13, X14, X15, X18, X20, X21, X28, X30","X1, X2, X3, X10, X11, X16, X25, X26, X27","X1, X2, X3, X10, X11, X16, X17, X19, X22, X23, X24, X25, X26, X27, X29"
0.75-15-2-430,"X1, X2, X3, X5, X6, X7, X9, X10, X11, X15, X18, X19, X20, X21, X24, X26, X28, X29, X30","X1, X2, X3, X6, X7, X9, X11, X15, X19, X20, X21, X24, X26, X28, X30","X4, X8, X12, X13, X14, X16, X17, X22, X23, X25, X27","X4, X5, X8, X10, X12, X13, X14, X16, X17, X18, X22, X23, X25, X27, X29"
0.75-15-2-431,"X1, X2, X3, X5, X6, X7, X8, X9, X10, X15, X17, X18, X19, X20, X22, X25, X26, X27, X28, X29, X30","X1, X2, X3, X5, X7, X8, X10, X15, X18, X19, X22, X25, X26, X27, X28","X4, X11, X12, X13, X14, X16, X21, X23, X24","X4, X6, X9, X11, X12, X13, X14, X16, X17, X20, X21, X23, X24, X29, X30"
0.75-15-2-432,"X1, X2, X3, X4, X5, X6, X9, X10, X12, X13, X14, X16, X17, X18, X19, X21, X22, X24, X25, X27, X29, X30","X5, X9, X10, X12, X13, X16, X17, X18, X19, X21, X22, X24, X25, X27, X30","X7, X8, X11, X15, X20, X23, X26, X28","X1, X2, X3, X4, X6, X7, X8, X11, X14, X15, X20, X23, X26, X28, X29"
0.75-15-2-433,"X1, X2, X3, X8, X11, X12, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X29, X30","X3, X8, X11, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X28, X29","X4, X5, X6, X7, X9, X10, X13, X14","X1, X2, X4, X5, X6, X7, X9, X10, X12, X13, X14, X15, X26, X27, X30"
0.75-15-2-434,"X3, X4, X5, X6, X9, X10, X11, X12, X14, X15, X16, X19, X20, X21, X22, X23, X24, X25, X28, X29, X30","X3, X6, X9, X10, X11, X14, X16, X19, X20, X21, X22, X23, X24, X25, X29","X1, X2, X7, X8, X13, X17, X18, X26, X27","X1, X2, X4, X5, X7, X8, X12, X13, X15, X17, X18, X26, X27, X28, X30"
0.75-15-2-435,"X1, X3, X4, X5, X6, X7, X8, X10, X11, X13, X14, X15, X16, X17, X18, X19, X21, X22, X27, X30","X1, X4, X6, X7, X8, X11, X14, X16, X17, X18, X19, X21, X22, X27, X30","X2, X9, X12, X20, X23, X24, X25, X26, X28, X29","X2, X3, X5, X9, X10, X12, X13, X15, X20, X23, X24, X25, X26, X28, X29"
0.75-15-2-436,"X2, X3, X5, X6, X7, X10, X11, X13, X15, X16, X17, X18, X19, X21, X23, X25, X26, X27, X28, X29, X30","X2, X3, X6, X10, X11, X13, X16, X17, X18, X21, X23, X26, X27, X28, X29","X1, X4, X8, X9, X12, X14, X20, X22, X24","X1, X4, X5, X7, X8, X9, X12, X14, X15, X19, X20, X22, X24, X25, X30"
0.75-15-2-437,"X1, X2, X3, X6, X7, X8, X9, X10, X11, X13, X14, X15, X17, X19, X22, X23, X24, X25, X26, X27, X28, X29, X30","X2, X3, X6, X7, X8, X9, X10, X11, X22, X23, X24, X26, X27, X28, X29","X4, X5, X12, X16, X18, X20, X21","X1, X4, X5, X12, X13, X14, X15, X16, X17, X18, X19, X20, X21, X25, X30"
0.75-15-2-438,"X1, X3, X4, X5, X6, X8, X11, X13, X14, X16, X18, X19, X20, X21, X22, X23, X24, X25, X26, X28, X29, X30","X3, X4, X5, X6, X8, X11, X16, X19, X20, X21, X22, X24, X25, X28, X29","X2, X7, X9, X10, X12, X15, X17, X27","X1, X2, X7, X9, X10, X12, X13, X14, X15, X17, X18, X23, X26, X27, X30"
0.75-15-2-439,"X1, X2, X4, X5, X6, X8, X9, X11, X12, X13, X14, X15, X17, X22, X24, X25, X26, X27, X28, X29, X30","X1, X2, X5, X6, X9, X11, X12, X13, X14, X17, X24, X25, X27, X28, X29","X3, X7, X10, X16, X18, X19, X20, X21, X23","X3, X4, X7, X8, X10, X15, X16, X18, X19, X20, X21, X22, X23, X26, X30"
0.75-15-2-440,"X2, X3, X4, X6, X7, X8, X9, X10, X11, X13, X16, X17, X20, X21, X23, X24, X25, X26, X27, X30","X2, X4, X7, X9, X11, X13, X16, X17, X20, X21, X23, X25, X26, X27, X30","X1, X5, X12, X14, X15, X18, X19, X22, X28, X29","X1, X3, X5, X6, X8, X10, X12, X14, X15, X18, X19, X22, X24, X28, X29"
0.75-15-2-441,"X1, X3, X4, X5, X6, X8, X9, X11, X17, X18, X19, X20, X23, X24, X25, X26, X27, X28, X29, X30","X4, X6, X8, X9, X11, X17, X18, X19, X20, X23, X25, X26, X27, X28, X29","X2, X7, X10, X12, X13, X14, X15, X16, X21, X22","X1, X2, X3, X5, X7, X10, X12, X13, X14, X15, X16, X21, X22, X24, X30"
0.75-15-2-442,"X1, X2, X4, X5, X6, X8, X9, X10, X11, X13, X14, X15, X16, X17, X18, X19, X20, X21, X24, X26, X27, X29, X30","X1, X2, X4, X6, X9, X10, X13, X14, X15, X17, X18, X21, X24, X27, X29","X3, X7, X12, X22, X23, X25, X28","X3, X5, X7, X8, X11, X12, X16, X19, X20, X22, X23, X25, X26, X28, X30"
0.75-15-2-443,"X1, X3, X4, X5, X6, X7, X10, X13, X14, X15, X16, X18, X19, X20, X21, X22, X23, X24, X27, X29, X30","X1, X6, X7, X10, X13, X14, X15, X16, X18, X21, X22, X23, X24, X29, X30","X2, X8, X9, X11, X12, X17, X25, X26, X28","X2, X3, X4, X5, X8, X9, X11, X12, X17, X19, X20, X25, X26, X27, X28"
0.75-15-2-444,"X2, X3, X4, X5, X6, X7, X13, X14, X15, X16, X17, X18, X20, X21, X22, X23, X24, X26, X28, X30","X3, X4, X5, X7, X13, X14, X15, X17, X18, X20, X21, X23, X24, X26, X30","X1, X8, X9, X10, X11, X12, X19, X25, X27, X29","X1, X2, X6, X8, X9, X10, X11, X12, X16, X19, X22, X25, X27, X28, X29"
0.75-15-2-445,"X3, X4, X5, X6, X7, X8, X9, X10, X11, X12, X13, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X30","X3, X5, X6, X7, X8, X10, X13, X15, X18, X19, X20, X22, X24, X25, X26","X1, X2, X14, X27, X28, X29","X1, X2, X4, X9, X11, X12, X14, X16, X17, X21, X23, X27, X28, X29, X30"
0.75-15-2-446,"X1, X2, X4, X5, X6, X7, X8, X9, X10, X13, X14, X18, X19, X20, X24, X25, X26, X29, X30","X2, X4, X5, X6, X7, X8, X10, X13, X14, X18, X19, X20, X24, X25, X29","X3, X11, X12, X15, X16, X17, X21, X22, X23, X27, X28","X1, X3, X9, X11, X12, X15, X16, X17, X21, X22, X23, X26, X27, X28, X30"
0.75-15-2-447,"X1, X2, X3, X4, X5, X6, X7, X8, X10, X11, X12, X14, X16, X17, X18, X20, X21, X23, X25, X27, X28, X29, X30","X1, X2, X3, X5, X7, X8, X14, X16, X17, X18, X20, X21, X23, X27, X29","X9, X13, X15, X19, X22, X24, X26","X4, X6, X9, X10, X11, X12, X13, X15, X19, X22, X24, X25, X26, X28, X30"
0.75-15-2-448,"X1, X2, X5, X7, X9, X11, X12, X14, X17, X18, X22, X23, X24, X25, X26, X28, X29, X30","X2, X5, X11, X12, X14, X17, X18, X22, X23, X24, X25, X26, X28, X29, X30","X3, X4, X6, X8, X10, X13, X15, X16, X19, X20, X21, X27","X1, X3, X4, X6, X7, X8, X9, X10, X13, X15, X16, X19, X20, X21, X27"
0.75-15-2-449,"X1, X2, X3, X4, X5, X8, X10, X12, X13, X21, X22, X23, X24, X25, X26, X27, X29, X30","X1, X2, X3, X4, X5, X8, X10, X12, X13, X21, X22, X23, X24, X25, X27","X6, X7, X9, X11, X14, X15, X16, X17, X18, X19, X20, X28","X6, X7, X9, X11, X14, X15, X16, X17, X18, X19, X20, X26, X28, X29, X30"
0.75-15-2-450,"X2, X4, X5, X6, X7, X8, X9, X12, X13, X16, X17, X18, X19, X20, X21, X22, X23, X25, X26, X27, X28, X29, X30","X2, X6, X8, X9, X12, X13, X17, X18, X19, X20, X22, X23, X26, X27, X28","X1, X3, X10, X11, X14, X15, X24","X1, X3, X4, X5, X7, X10, X11, X14, X15, X16, X21, X24, X25, X29, X30"
0.75-15-2-451,"X1, X2, X3, X5, X6, X7, X8, X9, X10, X16, X20, X21, X22, X25, X26, X27, X28, X29, X30","X1, X3, X5, X6, X7, X8, X10, X16, X20, X21, X22, X25, X26, X27, X30","X4, X11, X12, X13, X14, X15, X17, X18, X19, X23, X24","X2, X4, X9, X11, X12, X13, X14, X15, X17, X18, X19, X23, X24, X28, X29"
0.75-15-2-452,"X1, X2, X4, X5, X6, X7, X8, X9, X11, X13, X14, X16, X17, X18, X19, X20, X21, X23, X27, X30","X1, X2, X4, X5, X6, X8, X9, X11, X13, X14, X16, X18, X19, X23, X27","X3, X10, X12, X15, X22, X24, X25, X26, X28, X29","X3, X7, X10, X12, X15, X17, X20, X21, X22, X24, X25, X26, X28, X29, X30"
0.75-15-2-453,"X3, X4, X5, X6, X7, X8, X10, X11, X13, X19, X22, X23, X24, X25, X26, X27, X30","X3, X4, X5, X6, X7, X8, X10, X11, X13, X19, X22, X23, X25, X26, X27","X1, X2, X9, X12, X14, X15, X16, X17, X18, X20, X21, X28, X29","X1, X2, X9, X12, X14, X15, X16, X17, X18, X20, X21, X24, X28, X29, X30"
0.75-15-2-454,"X2, X3, X4, X5, X6, X10, X12, X13, X14, X15, X16, X18, X20, X22, X23, X24, X25, X26, X27, X28, X29, X30","X2, X3, X4, X5, X6, X10, X13, X14, X15, X20, X24, X25, X26, X28, X29","X1, X7, X8, X9, X11, X17, X19, X21","X1, X7, X8, X9, X11, X12, X16, X17, X18, X19, X21, X22, X23, X27, X30"
0.75-15-2-455,"X1, X4, X5, X6, X7, X8, X9, X10, X11, X14, X15, X16, X20, X21, X22, X23, X24, X26, X29, X30","X4, X6, X7, X8, X9, X10, X11, X14, X15, X16, X20, X22, X23, X26, X29","X2, X3, X12, X13, X17, X18, X19, X25, X27, X28","X1, X2, X3, X5, X12, X13, X17, X18, X19, X21, X24, X25, X27, X28, X30"
0.75-15-2-456,"X3, X4, X5, X8, X10, X11, X12, X13, X17, X18, X19, X20, X21, X22, X23, X24, X25, X28, X29, X30","X3, X5, X8, X10, X11, X13, X17, X18, X19, X20, X22, X23, X24, X25, X28","X1, X2, X6, X7, X9, X14, X15, X16, X26, X27","X1, X2, X4, X6, X7, X9, X12, X14, X15, X16, X21, X26, X27, X29, X30"
0.75-15-2-457,"X2, X3, X6, X7, X8, X9, X10, X11, X12, X13, X14, X16, X17, X18, X19, X20, X21, X22, X23, X24, X27, X28, X29, X30","X2, X3, X7, X9, X11, X12, X13, X14, X17, X18, X19, X21, X23, X24, X28","X1, X4, X5, X15, X25, X26","X1, X4, X5, X6, X8, X10, X15, X16, X20, X22, X25, X26, X27, X29, X30"
0.75-15-2-458,"X3, X5, X6, X8, X9, X10, X11, X12, X13, X14, X15, X16, X18, X19, X20, X21, X23, X24, X25, X26, X28, X29, X30","X3, X8, X9, X10, X11, X13, X15, X16, X19, X20, X21, X23, X26, X28, X30","X1, X2, X4, X7, X17, X22, X27","X1, X2, X4, X5, X6, X7, X12, X14, X17, X18, X22, X24, X25, X27, X29"
0.75-15-2-459,"X2, X5, X6, X7, X8, X9, X12, X13, X14, X15, X18, X20, X21, X22, X23, X25, X26, X27, X28, X29, X30","X2, X5, X6, X7, X8, X12, X13, X14, X15, X18, X21, X23, X26, X28, X30","X1, X3, X4, X10, X11, X16, X17, X19, X24","X1, X3, X4, X9, X10, X11, X16, X17, X19, X20, X22, X24, X25, X27, X29"
0.75-15-2-460,"X2, X3, X4, X5, X6, X7, X8, X9, X10, X12, X14, X15, X19, X22, X23, X24, X25, X28, X29, X30","X2, X4, X6, X7, X8, X9, X10, X14, X15, X22, X23, X24, X25, X28, X29","X1, X11, X13, X16, X17, X18, X20, X21, X26, X27","X1, X3, X5, X11, X12, X13, X16, X17, X18, X19, X20, X21, X26, X27, X30"
0.75-15-2-461,"X1, X2, X3, X4, X5, X6, X7, X8, X10, X18, X19, X20, X22, X23, X24, X25, X27, X28, X29, X30","X1, X2, X3, X4, X6, X7, X8, X10, X18, X19, X20, X22, X24, X25, X28","X9, X11, X12, X13, X14, X15, X16, X17, X21, X26","X5, X9, X11, X12, X13, X14, X15, X16, X17, X21, X23, X26, X27, X29, X30"
0.75-15-2-462,"X1, X3, X4, X5, X6, X8, X10, X12, X13, X14, X15, X16, X17, X18, X19, X20, X22, X24, X26, X29, X30","X1, X3, X4, X5, X6, X8, X12, X15, X16, X17, X18, X20, X22, X24, X29","X2, X7, X9, X11, X21, X23, X25, X27, X28","X2, X7, X9, X10, X11, X13, X14, X19, X21, X23, X25, X26, X27, X28, X30"
0.75-15-2-463,"X1, X2, X3, X4, X5, X6, X7, X9, X11, X14, X15, X17, X18, X21, X23, X24, X26, X27, X28, X29, X30","X2, X3, X4, X5, X7, X9, X11, X14, X15, X18, X21, X23, X26, X29, X30","X8, X10, X12, X13, X16, X19, X20, X22, X25","X1, X6, X8, X10, X12, X13, X16, X17, X19, X20, X22, X24, X25, X27, X28"
0.75-15-2-464,"X1, X2, X3, X4, X5, X7, X9, X10, X11, X13, X15, X16, X17, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X29, X30","X1, X2, X3, X9, X13, X16, X17, X19, X20, X22, X23, X24, X25, X27, X28","X6, X8, X12, X14, X18","X4, X5, X6, X7, X8, X10, X11, X12, X14, X15, X18, X21, X26, X29, X30"
0.75-15-2-465,"X1, X2, X4, X5, X6, X7, X8, X13, X14, X15, X17, X18, X20, X21, X23, X24, X25, X26, X29, X30","X1, X4, X5, X6, X7, X8, X13, X14, X17, X20, X21, X23, X26, X29, X30","X3, X9, X10, X11, X12, X16, X19, X22, X27, X28","X2, X3, X9, X10, X11, X12, X15, X16, X18, X19, X22, X24, X25, X27, X28"
0.75-15-2-466,"X2, X3, X4, X5, X6, X8, X9, X10, X11, X12, X13, X14, X16, X19, X22, X24, X25, X27, X28, X29, X30","X2, X3, X4, X5, X6, X8, X9, X10, X12, X13, X16, X19, X22, X25, X29","X1, X7, X15, X17, X18, X20, X21, X23, X26","X1, X7, X11, X14, X15, X17, X18, X20, X21, X23, X24, X26, X27, X28, X30"
0.75-15-2-467,"X2, X5, X6, X8, X12, X14, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X30","X2, X5, X6, X8, X12, X15, X16, X17, X18, X19, X20, X21, X24, X25, X26","X1, X3, X4, X7, X9, X10, X11, X13, X27, X28, X29","X1, X3, X4, X7, X9, X10, X11, X13, X14, X22, X23, X27, X28, X29, X30"
0.75-15-2-468,"X1, X2, X4, X5, X7, X8, X10, X11, X12, X14, X16, X17, X20, X21, X23, X24, X25, X26, X27, X28, X29, X30","X1, X2, X5, X7, X10, X12, X14, X16, X17, X23, X24, X25, X26, X27, X29","X3, X6, X9, X13, X15, X18, X19, X22","X3, X4, X6, X8, X9, X11, X13, X15, X18, X19, X20, X21, X22, X28, X30"
0.75-15-2-469,"X1, X2, X3, X4, X5, X7, X8, X12, X13, X16, X17, X19, X20, X21, X22, X23, X24, X25, X29, X30","X1, X2, X4, X7, X8, X12, X13, X16, X17, X20, X21, X22, X23, X24, X29","X6, X9, X10, X11, X14, X15, X18, X26, X27, X28","X3, X5, X6, X9, X10, X11, X14, X15, X18, X19, X25, X26, X27, X28, X30"
0.75-15-2-470,"X1, X2, X4, X5, X6, X7, X9, X10, X11, X12, X13, X14, X15, X16, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X29, X30","X2, X4, X6, X9, X10, X13, X14, X15, X19, X20, X21, X23, X24, X26, X27","X3, X8, X17, X28","X1, X3, X5, X7, X8, X11, X12, X16, X17, X18, X22, X25, X28, X29, X30"
0.75-15-2-471,"X1, X2, X3, X6, X7, X8, X9, X10, X11, X13, X14, X17, X18, X19, X22, X23, X24, X25, X26, X27, X28, X29, X30","X1, X3, X6, X7, X9, X10, X11, X14, X22, X23, X24, X26, X27, X28, X29","X4, X5, X12, X15, X16, X20, X21","X2, X4, X5, X8, X12, X13, X15, X16, X17, X18, X19, X20, X21, X25, X30"
0.75-15-2-472,"X4, X5, X6, X7, X11, X12, X14, X15, X17, X19, X20, X21, X22, X23, X24, X25, X26, X29, X30","X5, X6, X7, X11, X12, X14, X15, X17, X19, X20, X21, X24, X25, X29, X30","X1, X2, X3, X8, X9, X10, X13, X16, X18, X27, X28","X1, X2, X3, X4, X8, X9, X10, X13, X16, X18, X22, X23, X26, X27, X28"
0.75-15-2-473,"X5, X10, X11, X12, X13, X14, X15, X16, X17, X19, X20, X21, X22, X23, X24, X25, X26, X27, X30","X5, X10, X11, X12, X13, X14, X16, X17, X19, X20, X21, X22, X23, X26, X27","X1, X2, X3, X4, X6, X7, X8, X9, X18, X28, X29","X1, X2, X3, X4, X6, X7, X8, X9, X15, X18, X24, X25, X28, X29, X30"
0.75-15-2-474,"X2, X3, X4, X5, X6, X7, X9, X10, X12, X14, X15, X16, X17, X18, X21, X24, X25, X27, X28, X30","X2, X3, X4, X5, X6, X7, X9, X12, X14, X15, X16, X18, X21, X27, X28","X1, X8, X11, X13, X19, X20, X22, X23, X26, X29","X1, X8, X10, X11, X13, X17, X19, X20, X22, X23, X24, X25, X26, X29, X30"
0.75-15-2-475,"X1, X2, X3, X5, X6, X7, X8, X9, X10, X11, X14, X15, X16, X17, X19, X21, X22, X24, X25, X26, X28, X29, X30","X2, X5, X6, X9, X10, X11, X14, X15, X16, X19, X21, X22, X26, X28, X29","X4, X12, X13, X18, X20, X23, X27","X1, X3, X4, X7, X8, X12, X13, X17, X18, X20, X23, X24, X25, X27, X30"
0.75-15-2-476,"X1, X2, X3, X4, X5, X6, X7, X9, X10, X11, X14, X15, X16, X18, X19, X20, X22, X23, X24, X27, X29, X30","X1, X4, X5, X6, X7, X10, X14, X15, X16, X18, X19, X20, X23, X27, X30","X8, X12, X13, X17, X21, X25, X26, X28","X2, X3, X8, X9, X11, X12, X13, X17, X21, X22, X24, X25, X26, X28, X29"
0.75-15-2-477,"X2, X3, X4, X5, X8, X9, X10, X11, X12, X13, X15, X16, X18, X19, X21, X22, X24, X25, X26, X27, X28, X29, X30","X2, X5, X10, X11, X12, X15, X16, X18, X21, X22, X24, X25, X27, X28, X29","X1, X6, X7, X14, X17, X20, X23","X1, X3, X4, X6, X7, X8, X9, X13, X14, X17, X19, X20, X23, X26, X30"
